Date,Open,High,Low,Close,Volume,Adj Close
7/13/2010,17.389999,18.639999,16.9,18.139999,2680100,18.139999
7/14/2010,17.940001,20.15,17.76,19.84,4195200,19.84
7/15/2010,19.940001,21.5,19,19.889999,3739800,19.889999
7/16/2010,20.700001,21.299999,20.049999,20.639999,2621300,20.639999
7/19/2010,21.370001,22.25,20.92,21.91,2486500,21.91
7/20/2010,21.85,21.85,20.049999,20.299999,1825300,20.299999
7/21/2010,20.66,20.9,19.5,20.219999,1252500,20.219999
7/22/2010,20.5,21.25,20.370001,21,957800,21
7/23/2010,21.190001,21.559999,21.059999,21.290001,653600,21.290001
7/26/2010,21.5,21.5,20.299999,20.950001,922200,20.950001
7/27/2010,20.91,21.18,20.26,20.549999,619700,20.549999
7/28/2010,20.549999,20.9,20.51,20.719999,467200,20.719999
7/29/2010,20.77,20.879999,20,20.35,616000,20.35
7/30/2010,20.200001,20.440001,19.549999,19.940001,426900,19.940001
8/13/2010,18.18,18.450001,17.66,18.32,634000,18.32
8/16/2010,18.450001,18.799999,18.26,18.780001,485800,18.780001
8/17/2010,18.959999,19.4,18.780001,19.15,447900,19.15
8/18/2010,19.59,19.59,18.6,18.77,601300,18.77
8/19/2010,18.540001,19.25,18.33,18.790001,579100,18.790001
8/20/2010,18.65,19.110001,18.51,19.1,296000,19.1
8/23/2010,19.09,20.389999,19,20.129999,1088100,20.129999
8/24/2010,19.25,19.709999,18.950001,19.200001,673100,19.200001
8/25/2010,19.16,19.98,18.559999,19.9,503300,19.9
8/26/2010,19.889999,20.27,19.6,19.75,433800,19.75
8/27/2010,19.75,19.870001,19.5,19.700001,379600,19.700001
8/30/2010,19.700001,20.190001,19.610001,19.870001,732800,19.870001
8/31/2010,19.66,19.790001,19.33,19.48,201100,19.48
9/13/2010,20.889999,20.9,20.5,20.719999,360800,20.719999
9/14/2010,20.540001,21.6,20.530001,21.120001,654700,21.120001
9/15/2010,20.98,22,20.790001,21.98,684600,21.98
9/16/2010,22.15,23.16,20.84,20.940001,2684500,20.940001
9/17/2010,21.02,21.32,19.799999,20.23,1198500,20.23
9/20/2010,20.67,21.35,20.16,21.059999,947500,21.059999
9/21/2010,20.889999,21.549999,20.67,20.77,796000,20.77
9/22/2010,20.870001,20.950001,19.799999,19.870001,962900,19.870001
9/23/2010,19.889999,20.139999,19.5,19.559999,668100,19.559999
9/24/2010,19.950001,20.190001,19.65,20.1,578900,20.1
9/27/2010,20.4,20.809999,20.049999,20.530001,418600,20.530001
9/28/2010,21.040001,21.49,20.76,21.4,1214500,21.4
9/29/2010,21.190001,22.030001,21.129999,21.98,1969300,21.98
9/30/2010,22,22.15,20.190001,20.41,2195800,20.41
10/13/2010,20.639999,20.85,20.360001,20.540001,318200,20.540001
10/14/2010,21,21.030001,20.4,20.75,294800,20.75
10/15/2010,20.889999,20.9,20.25,20.540001,284700,20.540001
10/18/2010,20.52,20.639999,20.219999,20.23,162800,20.23
10/19/2010,20.200001,20.41,20,20.049999,245200,20.049999
10/20/2010,20.16,20.690001,20.040001,20.65,312500,20.65
10/21/2010,20.610001,20.950001,20.450001,20.75,417100,20.75
10/22/2010,20.68,20.93,20.549999,20.719999,161100,20.719999
10/25/2010,20.940001,20.98,20.73,20.85,118500,20.85
10/26/2010,20.799999,21.870001,20.51,21.360001,660900,21.360001
10/27/2010,21.25,21.379999,20.65,21,356500,21
10/28/2010,21.389999,21.5,20.959999,21.190001,224200,21.190001
10/29/2010,21.139999,21.85,21.049999,21.84,280600,21.84
